2016-04-20 22:03:23 install libfdisk1:i386 <none> 2.27.1-6ubuntu3
2016-04-20 22:03:23 status half-installed libfdisk1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:23 status unpacked libfdisk1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:23 status unpacked libfdisk1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:23 install libgcc1:i386 <none> 1:6.0.1-0ubuntu1
2016-04-20 22:03:23 status half-installed libgcc1:i386 1:6.0.1-0ubuntu1
2016-04-20 22:03:23 status unpacked libgcc1:i386 1:6.0.1-0ubuntu1
2016-04-20 22:03:23 status unpacked libgcc1:i386 1:6.0.1-0ubuntu1
2016-04-20 22:03:23 install libgcrypt20:i386 <none> 1.6.5-2
2016-04-20 22:03:23 status half-installed libgcrypt20:i386 1.6.5-2
2016-04-20 22:03:23 status unpacked libgcrypt20:i386 1.6.5-2
2016-04-20 22:03:23 status unpacked libgcrypt20:i386 1.6.5-2
2016-04-20 22:03:23 install libgpg-error0:i386 <none> 1.21-2ubuntu1
2016-04-20 22:03:23 status half-installed libgpg-error0:i386 1.21-2ubuntu1
2016-04-20 22:03:23 status unpacked libgpg-error0:i386 1.21-2ubuntu1
2016-04-20 22:03:23 status unpacked libgpg-error0:i386 1.21-2ubuntu1
2016-04-20 22:03:23 install libkmod2:i386 <none> 22-1ubuntu4
2016-04-20 22:03:23 status half-installed libkmod2:i386 22-1ubuntu4
2016-04-20 22:03:23 status unpacked libkmod2:i386 22-1ubuntu4
2016-04-20 22:03:23 status unpacked libkmod2:i386 22-1ubuntu4
2016-04-20 22:03:23 install liblzma5:i386 <none> 5.1.1alpha+20120614-2ubuntu2
2016-04-20 22:03:23 status half-installed liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2016-04-20 22:03:23 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2016-04-20 22:03:23 status unpacked liblzma5:i386 5.1.1alpha+20120614-2ubuntu2
2016-04-20 22:03:23 install libmount1:i386 <none> 2.27.1-6ubuntu3
2016-04-20 22:03:23 status half-installed libmount1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:23 status unpacked libmount1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:23 status unpacked libmount1:i386 2.27.1-6ubuntu3
2016-04-20 22:03:23 install libncurses5:i386 <none> 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 status half-installed libncurses5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 status unpacked libncurses5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 status unpacked libncurses5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 install libncursesw5:i386 <none> 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 status half-installed libncursesw5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 status unpacked libncursesw5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 status unpacked libncursesw5:i386 6.0+20160213-1ubuntu1
2016-04-20 22:03:23 install libpam-modules:i386 <none> 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status half-installed libpam-modules:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam-modules:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam-modules:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 install libpam-modules-bin:i386 <none> 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status half-installed libpam-modules-bin:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam-modules-bin:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam-modules-bin:i386 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2016-04-20 22:03:23 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
